# $Id: LIM-Rules.csv,v 1.28 2008/02/29 22:59:45 gg2712 Exp $,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,LIM Error Text,LIM Error,Exception Type
EDIT_ERR,State Code can not be determined,LIM-BusinessViolation-01889,State Code can not be determined,LIM BIS,1,0,State Code can not be determined,ERR_LIM_NO_STATE_CODE_FOUND,Business Violation
EDIT_ERR,Invalid AddressMaxLengthPerLine,LIM-InvalidData-02061,Invalid Data: <%TAG=CLASS%s>:aContext.aProperties<%TAG=MAXCASSCHARPERLINE%s>. Reason: The Address Maximum Length Per Line must contain a numeric value.,LIM,1,0,Invalid AddressMaxLengthPerLine,ERR_LIM_INVALID_ADDRESS_MAX_LENGTH_PER_LINE,Invalid Data
EDIT_ERR,Missing Data: Conversation ID,LIM-InvalidData-02219,Missing Data: Conversation ID,LIM,1,0,Missing Data: Conversation ID,ERR_LIM_MISSING_CONVERSATION_ID,Invalid Data
EDIT_ERR,Invalid Cingular Sales Channel,LIM-InvalidData-08324,Invalid Data: The client Cingular Customized Channel must be either Lightspeed; SWOT; WOW; or iWOW.,LIM,1,0,Invalid Data: The client Cingular Customized Channel must be either Lightspeed; SWOT; WOW; or iWOW.,ERR_LIM_INVALID_CINGULAR_CHANNEL,Invalid Data
EDIT_ERR,Not authorized to sell Cingular,LIM-BusinessViolation-03488,Not authorized to sell Cingular for that Zip Code.,LIM,1,0,Not authorized to sell Cingular for that Zip Code,ERR_LIM_UN_AUTHORIZED,Business Violation
EDIT_ERR,No operation requested,LIM-BusinessViolation-03489,"Client must specify both the ""RequestServiceAreaIndicator"" and ""RequestMarketInformationIndicator"" to either True or False in the request",LIM,1,0,"Client must specify both the ""RequestServiceAreaIndicator"" and ""RequestMarketInformationIndicator"" to either True or False in the request",ERR_LIM_INSUFFICIANT_REQUEST,Business Violation
EDIT_ERR,Regional SAG address and MSAG address don't match. Contact the DIU for assistance.,LIM-BusinessViolation-10083,Regional SAG address and MSAG address don't match. Contact the DIU for assistance.,LIM,1,0,Regional SAG address and MSAG address don't match. Contact the DIU for assistance.,ERR_LIM_REGIONAL_MSAG_ADDRESS_MISMATCH,Business Violation
EDIT_ERR,Missing Data: Bill Name,LIM-InvalidData-10443,Missing data: <%TAG=MSG%s>,LIM,1,0,Missing data Bill Name,ERR_LIM_MISSING_DATA,Invalid Data
EDIT_ERR,Missing Billing Account,LIM-InvalidData-11094,Missing billing account,LIM,1,0,Missing billing account,ERR_LIM_MISSING_BILLING_ACCOUNT,Invalid Data
EDIT_ERR,Missing New Address Info,LIM-InvalidData-11097,Missing new address info: <%TAG=MSG%s>,LIM,1,0,Missing new address info,ERR_LIM_MISSING_NEW_ADDRESS_INFO,Invalid Data
EDIT_ERR,Missing Old Address Info,LIM-InvalidData-11096,Missing old address info: <%TAG=MSG%s>,LIM,1,0,Missing old address info,ERR_LIM_MISSING_OLD_ADDRESS_INFO,Invalid Data
EDIT_ERR,Missing Address Data,LIM-InvalidData-11114,Missing address data: <%TAG=MSG%s>,LIM,1,0,Missing address information,ERR_LIM_MISSING_ADDRESS_DATA,Invalid Data
JAXB_ERR,JAXB Exception,LIM-SystemFailure-09050,JAXB exception encountered decoding response from <%TAG=SYSTEM%s>. Exception message: <%TAG=MSG%s>.,LIM,1,0,JAXB Exception,ERR_LIM_JAXB_EXCEPTION,System Failure
LIM_ERR,Missing LATA Properties File,LIM-SystemFailure-00088,LATA.properties file not found in location: <%TAG=LOC%s>.,LIM,1,0,LIM Internal Error,ERR_LIM_INTERNAL,System Failure
LIM_ERR,Host Lookup Exception,LIM-SystemFailure-00111,Host Lookup Exception: Code: <%TAG=CLASS%s> Description: <%TAG=DESCRIPTION%s>,LIM,1,0,LIM Host Lookup Error,ERR_LIM_HOST_LOOKUP,System Failure
LIM_ERR,Not Implemented,LIM-NotImplemented-00080,The requested LIM operation has not been implemented.,LIM,1,0,The requested LIM operation has not been implemented.,ERR_LIM_REQUEST_NOT_IMPLEMENTED,Not Implemented
LIM_ERR,JMS Exception,LIM-SystemFailure-01682,JMS exception. Description: <%TAG=MSG%s> ,LIM,1,0,JMS exception,ERR_LIM_JMS_EXCEPTION,System Failure
LIM_ERR,EMBus Exception,LIM-SystemFailure-01718,Host System EMBus Exception. Description: <%TAG=MSG%s>,EMBUS,1,0,Host System EMBus Exception,ERR_LIM_EMBUS_EXCEPTION,System Failure
LIM_ERR,null,LIM-SystemFailure-00088,LIM Internal Error,LIM,1,0,LIM Internal Error,ERR_LIM_INTERNAL,System Failure
LIM_ERR,Resource Connector Exception,LIM-SystemFailure-02215,Resource Connector Exception. Description: <%TAG=MSG%s>,LIM,1,0,Resource Connector Exception,ERR_LIM_RESOURCE_CONNECTOR_EXCEPTION,System Failure
LIM_ERR,Routing Override Access Denied,LIM-AccessDenied-02216,Routing Override Access Denied: Description : <%TAG=MSG%>,LIM,1,0,Routing Override Access Denied,ERR_LIM_LIM_OVERRIDE_ACCESS_DENIED,Access Denied
LIM_ERR,Routing Override System Failure,LIM-SystemFailure-02217,Routing Override System Failure : Description : <%TAG=MSG%>,LIM,1,0,Routing Override System Failure,ERR_LIM_OVERRIDE_SYSTEM_FAILURE,System Failure
